Wind_turbine_name,Ws_avg,P_avg
R80721,6.1799998,315.42999
R80721,4.8299999,116.8
R80721,5.9299998,317.54001
R80721,7.800000199999999,853.27002
R80721,4.0999999,44.299999
R80721,2.9,0.0
R80721,5.08,146.39
R80721,5.13,120.53
R80721,5.38,120.96
R80721,4.33,34.41
R80721,3.18,0.0
R80721,1.53,0.0
R80721,2.23,0.0
R80721,2.14,0.0
R80721,2.93,0.0
R80721,3.09,0.0
R80721,4.94,104.21
R80721,3.83,26.07
R80721,4.21,46.76
R80721,4.31,31.38
R80721,4.35,45.92
R80721,4.43,49.32
R80721,3.98,32.93
R80721,3.96,38.05
R80721,4.58,58.5
R80721,5.65,179.75
R80721,4.02,21.11
R80721,5.62,184.83
R80721,4.78,70.4
R80721,6.71,399.45
R80721,6.39,345.9
R80721,6.98,504.5
R80721,6.3200002,419.78
R80721,7.04,505.45
R80721,6.96,369.75
R80721,5.5900002,261.07001
R80721,7.21,549.17
R80721,5.37,152.97
R80721,5.3400002,221.07001
R80721,6.19,272.62
R80721,7.71,756.98
R80721,6.8100000000000005,506.08
R80721,6.2399998,467.01001
R80721,6.72,483.8
R80721,5.3000002,153.02
R80721,6.46,431.8
R80721,5.6199999,235.7
R80721,5.91,281.72
R80721,4.46,66.730003
R80721,6.55,374.37
R80721,5.6999998,241.83
R80721,5.04,157.71
R80721,7.0900002,622.32001
R80721,5.02,127.52
R80721,5.1599998,206.55
R80721,4.48,75.48
R80721,6.79,589.28003
R80721,4.18,74.44
R80721,5.8600001,218.00999
R80721,4.28,52.98
R80721,1.8099999,-1.35
R80721,1.96,0.0
R80721,0.44999999,-1.0700001
R80721,0.0,0.0
R80721,2.74,-1.24
R80721,0.15,0.0
R80721,2.7,-1.36
R80721,1.05,0.0
R80721,6.1799998,391.63
R80721,1.01,0.0
R80721,4.0,21.190001
R80721,1.88,0.0
R80721,6.3800001,341.20001
R80721,3.94,4.42
R80721,2.9200001,-3.26
R80721,4.87,80.68
R80721,4.0500002,43.5
R80721,5.36,120.29
R80721,2.27,-2.3699999
R80721,4.34,42.44
R80721,3.21,-3.72
R80721,5.17,131.35
R80721,4.6199999,63.080002
R80721,3.59,18.91
R80721,7.8899999,878.94
R80721,5.34,232.14
R80721,2.3,-0.50999999
